Domain,Cluster,representative,compared_with,duplicate_detector,manual_label
statemachines,17,manualDomains/466_008_108_States--1035737706.ecore,manualDomains/467_008_109_States--1687339431.ecore,1,1
statemachines,18,manualDomains/511_008_153_UmlState--1344551487.ecore,manualDomains/513_008_155_UmlState-690565703.ecore,1,1
statemachines,19,manualDomains/402_008_044_org.fsmsample--109032180.ecore,manualDomains/386_008_028_fsm_with_ids--1303928157.ecore,1,1
statemachines,20,manualDomains/395_008_037_InternalSM-319162910.ecore,manualDomains/394_008_036_InternalSM--1522145862.ecore,1,1
statemachines,21,manualDomains/375_008_017_EventAutomatonModel-135726158.ecore,manualDomains/376_008_018_EventAutomatonModel-2084340766.ecore,1,1
statemachines,22,manualDomains/442_008_084_statechart101-1233184040.ecore,manualDomains/443_008_085_statechart101-549662317.ecore,1,1
statemachines,0,manualDomains/478_008_120_SText--1613337209.ecore,manualDomains/481_008_123_SText--1852771946.ecore,0,1
statemachines,1,manualDomains/450_008_092_statemachine--1253391106.ecore,manualDomains/462_008_104_statemachines-160409643.ecore,0,0
statemachines,2,manualDomains/376_008_018_EventAutomatonModel-2084340766.ecore,manualDomains/439_008_081_statechart00-1455463104.ecore,0,0
statemachines,3,manualDomains/516_008_158_UmlTransition-1307121535.ecore,manualDomains/430_008_072_simplestatechart--84754729.ecore,0,0
statemachines,4,manualDomains/511_008_153_UmlState--1344551487.ecore,manualDomains/468_008_110_States-1206774986.ecore,0,0
statemachines,5,manualDomains/481_008_123_SText--1852771946.ecore,manualDomains/478_008_120_SText--1613337209.ecore,0,1
statemachines,6,manualDomains/413_008_055_sgraph--1856162601.ecore,manualDomains/430_008_072_simplestatechart--84754729.ecore,0,0
statemachines,7,manualDomains/468_008_110_States-1206774986.ecore,manualDomains/439_008_081_statechart00-1455463104.ecore,0,0
statemachines,8,manualDomains/367_008_009_Automaton-507393251.ecore,manualDomains/394_008_036_InternalSM--1522145862.ecore,0,0
statemachines,9,manualDomains/439_008_081_statechart00-1455463104.ecore,manualDomains/443_008_085_statechart101-549662317.ecore,0,1
statemachines,10,manualDomains/447_008_089_StateMachine--1190612645.ecore,manualDomains/450_008_092_statemachine--1253391106.ecore,0,0
statemachines,11,manualDomains/443_008_085_statechart101-549662317.ecore,manualDomains/430_008_072_simplestatechart--84754729.ecore,0,1
statemachines,12,manualDomains/462_008_104_statemachines-160409643.ecore,manualDomains/450_008_092_statemachine--1253391106.ecore,0,0
statemachines,13,manualDomains/498_008_140_tfsm--134938324.ecore,manualDomains/402_008_044_org.fsmsample--109032180.ecore,0,0
statemachines,14,manualDomains/382_008_024_fsm--1639641521.ecore,manualDomains/402_008_044_org.fsmsample--109032180.ecore,0,0
statemachines,15,manualDomains/402_008_044_org.fsmsample--109032180.ecore,manualDomains/382_008_024_fsm--1639641521.ecore,0,0
statemachines,16,manualDomains/394_008_036_InternalSM--1522145862.ecore,manualDomains/367_008_009_Automaton-507393251.ecore,0,0
statemachines,17,manualDomains/368_008_010_Before--1329591280.ecore,manualDomains/434_008_076_state--1405220375.ecore,0,0
statemachines,18,manualDomains/391_008_033_HierarchicalStateMachine--917840741.ecore,manualDomains/430_008_072_simplestatechart--84754729.ecore,0,0
statemachines,19,manualDomains/495_008_137_synccharts-1770063137.ecore,manualDomains/439_008_081_statechart00-1455463104.ecore,0,0
statemachines,20,manualDomains/434_008_076_state--1405220375.ecore,manualDomains/368_008_010_Before--1329591280.ecore,0,0
statemachines,21,manualDomains/430_008_072_simplestatechart--84754729.ecore,manualDomains/443_008_085_statechart101-549662317.ecore,0,1
statemachines,22,manualDomains/378_008_020_FMPL-basic--1418217170.ecore,manualDomains/439_008_081_statechart00-1455463104.ecore,0,0
databases,0,manualDomains/220_005_093_sqlitedb--142035111.ecore,manualDomains/219_005_092_sqlitedb--1416677468.ecore,1,1
databases,1,manualDomains/142_005_015_DB--1413551463.ecore,manualDomains/144_005_017_db--1624864759.ecore,1,1
databases,2,manualDomains/201_005_074_simpleRdbms-1824091106.ecore,manualDomains/187_005_060_QVT_SimpleRDBMS.ecore,1,1
databases,3,manualDomains/221_005_094_SqliteModel--460436461.ecore,manualDomains/222_005_095_SqliteModel--466764622.ecore,1,1
databases,4,manualDomains/153_005_026_db-syntax--238448101.ecore,manualDomains/154_005_027_db-syntax-2130831834.ecore,1,1
databases,5,manualDomains/213_005_086_SQL2003_evo--1420390465.ecore,manualDomains/211_005_084_SQL2003--1771240617.ecore,1,1
databases,6,manualDomains/152_005_025_db-routing-1.1--614039356.ecore,manualDomains/151_005_024_db-routing-1.1--1920266752.ecore,1,1
databases,7,manualDomains/132_005_005_database--300261768.ecore,manualDomains/133_005_006_database--612362553.ecore,1,1
databases,8,manualDomains/173_005_046_metadata410forMigration--502671008.ecore,manualDomains/170_005_043_metadata400-28616848.ecore,1,1
databases,9,manualDomains/180_005_053_nosql--716853735.ecore,manualDomains/181_005_054_nosqlMALO--803175952.ecore,1,1
databases,10,manualDomains/167_005_040_JPQL-2136897301.ecore,manualDomains/178_005_051_MQuery--2114012517.ecore,1,1
databases,0,manualDomains/220_005_093_sqlitedb--142035111.ecore,manualDomains/173_005_046_metadata410forMigration--502671008.ecore,0,0
databases,1,manualDomains/145_005_018_DB--2017748402.ecore,manualDomains/152_005_025_db-routing-1.1--614039356.ecore,0,0
databases,2,manualDomains/201_005_074_simpleRdbms-1824091106.ecore,manualDomains/152_005_025_db-routing-1.1--614039356.ecore,0,0
databases,3,manualDomains/222_005_095_SqliteModel--466764622.ecore,manualDomains/173_005_046_metadata410forMigration--502671008.ecore,0,0
databases,4,manualDomains/153_005_026_db-syntax--238448101.ecore,manualDomains/173_005_046_metadata410forMigration--502671008.ecore,0,0
databases,5,manualDomains/214_005_087_SQL2003_V2--656748070.ecore,manualDomains/173_005_046_metadata410forMigration--502671008.ecore,0,0
databases,6,manualDomains/152_005_025_db-routing-1.1--614039356.ecore,manualDomains/173_005_046_metadata410forMigration--502671008.ecore,0,0
databases,7,manualDomains/136_005_009_database-1644458154.ecore,manualDomains/152_005_025_db-routing-1.1--614039356.ecore,0,0
databases,8,manualDomains/173_005_046_metadata410forMigration--502671008.ecore,manualDomains/153_005_026_db-syntax--238448101.ecore,0,0
databases,9,manualDomains/180_005_053_nosql--716853735.ecore,manualDomains/152_005_025_db-routing-1.1--614039356.ecore,0,0
databases,10,manualDomains/167_005_040_JPQL-2136897301.ecore,manualDomains/173_005_046_metadata410forMigration--502671008.ecore,0,0
